SMILES,pH_aq,logIE
CC[N+](CC)(CC)CC,3.7,4.16
CN(C)c1ccccc1,3.7,1.94
COc1ccc(cc1)N(C)C,3.7,3.89
c1ccc2ncccc2c1,3.7,2.82
Nc1cccc(N)n1,3.7,3.8
Nc1ccc(cc1)C(O)=O,3.7,3.12
Nc1cccc2ccccc12,3.7,3.54
NC(CO)(CO)CO,3.7,2.89
Nc1ccccc1O,3.7,3.65
COc1ccc(N)cc1,3.7,3.87
Cc1ccc2cccc(N)c2n1,3.7,3.84
CC[N+](CC)(CC)CC,2.7,3.51
Clc1ccccc1N=P(N=P(N1CCCC1)(N1CCCC1)N1CCCC1)(N1CCCC1)N1CCCC1,2.7,3.81
FC(F)(F)c1ccc(N=P(N2CCCC2)(N2CCCC2)N2CCCC2)cc1,2.7,3.75
CCC[N+](CCC)(CCC)CCC,2.7,3.3
CCCN(CCC)CCC,2.7,3.41
c1ccncc1,2.7,2.47
C1CCNC1,2.7,2.4
CCNCC,2.7,2.53
COc1cccc(c1)N(C)C,2.7,3.4
Nc1ccccn1,2.7,1.94
CN(C)c1ccc(cc1)N(C)C,2.7,2.55
CO[C@H]1[C@@H](C[C@@H]2CN3CCc4c([nH]c5cc(OC)ccc45)[C@H]3C[C@@H]2[C@@H]1C(=O)OC)OC(=O)c6cc(OC)c(OC)c(OC)c6,2.7,3.27
N[C@@H](CCC(N)=O)C(O)=O,2.7,1.33
CC(N)C(=O)O,2.7,1.35
NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)O,2.7,3.96
c1cnc2c(c1)ccc3cccnc23,2.7,2.72
CN(C)c1ccc(N=Nc2ccc(N=P(c3ccccc3)(c3ccccc3)N3CCCC3)cc2)cc1,2.7,2.38
O=[N+]([O-])c1ccc(N=Nc2ccc(N=P(c3ccccc3)(N3CCCC3)N3CCCC3)cc2)cc1,2.7,3.25
COc1cccc(O)c1O,2.7,0.77
COc1ccncc1,2.7,2.82
OC(=O)c1ccccc1C(O)=O,2.7,1.11
Nc1ccc(O)cc1,2.7,1.9
[nH]1ncc2ccccc12,2.7,2.37
CC(=O)Nc1sc(cn1)[N+]([O-])=O,2.7,0.72
NC[P](O)(O)=O,2.7,-0.16
CNC(=O)O\N=C\C(C)(C)[S](C)(=O)=O,2.7,1.43
COC(=O)NC(=S)NC1=CC=CC=C1NC(=S)NC(=O)OC,2.7,2.64
Cc1c(COC(=O)C2C(\C=C(/Cl)C(F)(F)F)C2(C)C)cccc1c3ccccc3,2.7,-0.87
CCOC(=O)C(S[P](=S)(OC)OC)c1ccccc1,2.7,2.32
COc1ccc(C=O)cc1,2.7,1.56
Oc1ccc(C=O)cc1,2.7,1.19
OC(=O)C=Cc1ccccc1,2.7,1.2
CN1[C@@H]2CC(C[C@H]1[C@H]3[C@@H]2O3)OC(=O)[C@H](CO)C4=CC=CC=C4,2.7,3.27
CCO[P](=S)(Oc1ccc(cc1)C#N)c2ccccc2,2.7,1.9
CC1=NN=C(c2ccccc2)C(=O)N1N,2.7,2.55
CC(C)c1ccc(NC(=O)N(C)C)cc1,2.7,3.04
CCc1cccc(CC)c1N(COC)C(=O)CCl,2.7,1.97
COc1cc(ccc1O)C(O)CN,2.7,0.9
FC(F)C(F)(F)OCC(Cn1cncn1)c2ccc(Cl)cc2Cl,2.7,3.37
CC[N+](CC)(CC)CC,6.08,4.16
CN(C)c1ccccc1,6.08,1.55
COc1ccc(cc1)N(C)C,6.08,2.53
c1ccc2ncccc2c1,6.08,1.46
Nc1cccc(N)n1,6.08,3.66
Nc1ccc(cc1)C(O)=O,6.08,2.35
Nc1cccc2ccccc12,6.08,2.46
NC(CO)(CO)CO,6.08,2.62
Nc1ccccc1O,6.08,2.48
COc1ccc(N)cc1,6.08,2.19
Cc1ccc2cccc(N)c2n1,6.08,2.73
CC[N+](CC)(CC)CC,3.08,4.16
CN(C)c1ccccc1,3.08,2.29
COc1ccc(cc1)N(C)C,3.08,3.96
c1ccc2ncccc2c1,3.08,3.09
Nc1cccc(N)n1,3.08,3.91
Nc1ccc(cc1)C(O)=O,3.08,3.18
Nc1cccc2ccccc12,3.08,3.56
NC(CO)(CO)CO,3.08,2.91
Nc1ccccc1O,3.08,3.63
COc1ccc(N)cc1,3.08,3.86
Cc1ccc2cccc(N)c2n1,3.08,3.89
CN(C)c1ccccc1,7.9,0.86
COc1ccc(cc1)N(C)C,7.9,2.67
c1ccc2ncccc2c1,7.9,1.48
Nc1cccc(N)n1,7.9,3
Nc1cccc2ccccc12,7.9,1.08
NC(CO)(CO)CO,7.9,2.52
Nc1ccccc1O,7.9,1.66
COc1ccc(N)cc1,7.9,2.06
Cc1ccc2cccc(N)c2n1,7.9,3.35
CC[N+](CC)(CC)CC,9.37,4.16
CN(C)c1ccccc1,9.37,1.72
COc1ccc(cc1)N(C)C,9.37,2.85
c1ccc2ncccc2c1,9.37,1.72
Nc1cccc(N)n1,9.37,3.81
Nc1ccc(cc1)C(O)=O,9.37,2.58
Nc1cccc2ccccc12,9.37,2.78
NC(CO)(CO)CO,9.37,3.09
Nc1ccccc1O,9.37,3.43
COc1ccc(N)cc1,9.37,3.51
Cc1ccc2cccc(N)c2n1,9.37,3.95
CC[N+](CC)(CC)CC,2.75,4.16
CN(C)c1ccccc1,2.75,3.3
COc1ccc(cc1)N(C)C,2.75,4.01
c1ccc2ncccc2c1,2.75,3.27
Nc1cccc(N)n1,2.75,3.88
Nc1ccc(cc1)C(O)=O,2.75,2.99
Nc1cccc2ccccc12,2.75,3.41
NC(CO)(CO)CO,2.75,2.57
Nc1ccccc1O,2.75,3.48
COc1ccc(N)cc1,2.75,3.62
Cc1ccc2cccc(N)c2n1,2.75,3.91
CC[N+](CC)(CC)CC,6.77,4.16
CN(C)c1ccccc1,6.77,1.66
COc1ccc(cc1)N(C)C,6.77,2.45
c1ccc2ncccc2c1,6.77,1.54
Nc1cccc(N)n1,6.77,3.55
Nc1ccc(cc1)C(O)=O,6.77,2.4
Nc1cccc2ccccc12,6.77,2.25
NC(CO)(CO)CO,6.77,2.61
Nc1ccccc1O,6.77,2.36
COc1ccc(N)cc1,6.77,1.96
Cc1ccc2cccc(N)c2n1,6.77,2.52
CC[N+](CC)(CC)CC,10.29,4.16
CN(C)c1ccccc1,10.29,1.91
COc1ccc(cc1)N(C)C,10.29,3.25
c1ccc2ncccc2c1,10.29,2.14
Nc1cccc(N)n1,10.29,3.38
Nc1ccc(cc1)C(O)=O,10.29,2.93
Nc1cccc2ccccc12,10.29,3.13
NC(CO)(CO)CO,10.29,3.35
Nc1ccccc1O,10.29,3.51
COc1ccc(N)cc1,10.29,3.51
Cc1ccc2cccc(N)c2n1,10.29,4.1
CC[N+](CC)(CC)CC,6.68,4.16
CN(C)c1ccccc1,6.68,1.87
COc1ccc(cc1)N(C)C,6.68,2.57
c1ccc2ncccc2c1,6.68,1.51
Nc1cccc(N)n1,6.68,3.76
Nc1ccc(cc1)C(O)=O,6.68,2.44
Nc1cccc2ccccc12,6.68,2.5
NC(CO)(CO)CO,6.68,2.73
Nc1ccccc1O,6.68,2.66
COc1ccc(N)cc1,6.68,2.2
Cc1ccc2cccc(N)c2n1,6.68,2.79
CN(C)c1ccccc1,6.68,1.59
COc1ccc(cc1)N(C)C,6.68,3.26
c1ccc2ncccc2c1,6.68,1.32
Nc1cccc(N)n1,6.68,3.28
Nc1ccc(cc1)C(O)=O,6.68,2.36
Nc1cccc2ccccc12,6.68,2.08
NC(CO)(CO)CO,6.68,2.4
Nc1ccccc1O,6.68,2.48
COc1ccc(N)cc1,6.68,2.2
Cc1ccc2cccc(N)c2n1,6.68,2.56
CC[N+](CC)(CC)CC,5.52,4.16
CN(C)c1ccccc1,5.52,2.03
COc1ccc(cc1)N(C)C,5.52,2.72
c1ccc2ncccc2c1,5.52,1.95
Nc1cccc(N)n1,5.52,4.14
Nc1ccc(cc1)C(O)=O,5.52,3.17
Nc1cccc2ccccc12,5.52,2.48
NC(CO)(CO)CO,5.52,2.97
Nc1ccccc1O,5.52,2.57
COc1ccc(N)cc1,5.52,2.34
Cc1ccc2cccc(N)c2n1,5.52,3.1
CC[N+](CC)(CC)CC,3.15,4.16
CN(C)c1ccccc1,3.15,2.27
COc1ccc(cc1)N(C)C,3.15,4
c1ccc2ncccc2c1,3.15,3.4
Nc1cccc(N)n1,3.15,4.09
Nc1ccc(cc1)C(O)=O,3.15,3.46
Nc1cccc2ccccc12,3.15,3.98
NC(CO)(CO)CO,3.15,3.41
Nc1ccccc1O,3.15,3.88
COc1ccc(N)cc1,3.15,3.74
Cc1ccc2cccc(N)c2n1,3.15,4.46
CC[N+](CC)(CC)CC,2.47,4.16
CN(C)c1ccccc1,2.47,3.5
COc1ccc(cc1)N(C)C,2.47,4.13
c1ccc2ncccc2c1,2.47,3.53
Nc1cccc(N)n1,2.47,4.17
Nc1ccc(cc1)C(O)=O,2.47,3.96
Nc1cccc2ccccc12,2.47,4.25
NC(CO)(CO)CO,2.47,3.71
Nc1ccccc1O,2.47,4.11
COc1ccc(N)cc1,2.47,3.9
Cc1ccc2cccc(N)c2n1,2.47,4.56
CC[N+](CC)(CC)CC,2.79,4.16
CN(C)c1ccccc1,2.79,3.04
COc1ccc(cc1)N(C)C,2.79,3.93
c1ccc2ncccc2c1,2.79,3.04
Nc1cccc(N)n1,2.79,3.78
Nc1ccc(cc1)C(O)=O,2.79,3.23
Nc1cccc2ccccc12,2.79,3.54
NC(CO)(CO)CO,2.79,2.96
Nc1ccccc1O,2.79,3.48
COc1ccc(N)cc1,2.79,3.51
Cc1ccc2cccc(N)c2n1,2.79,4.01
CN(C)c1ccccc1,2.79,2.79
COc1ccc(cc1)N(C)C,2.79,3.74
c1ccc2ncccc2c1,2.79,2.96
Nc1cccc(N)n1,2.79,3.42
Nc1ccc(cc1)C(O)=O,2.79,3.07
Nc1cccc2ccccc12,2.79,3.51
NC(CO)(CO)CO,2.79,2.9
Nc1ccccc1O,2.79,3.22
COc1ccc(N)cc1,2.79,3.3
Cc1ccc2cccc(N)c2n1,2.79,3.92
CC[N+](CC)(CC)CC,3,4.16
CN(C)c1ccccc1,3,1.67
COc1ccc(cc1)N(C)C,3,3.2
c1ccc2ncccc2c1,3,2.25
Nc1cccc(N)n1,3,3.84
Nc1ccc(cc1)C(O)=O,3,2.71
Nc1cccc2ccccc12,3,3.14
NC(CO)(CO)CO,3,2.51
Nc1ccccc1O,3,2.79
COc1ccc(N)cc1,3,2.69
Cc1ccc2cccc(N)c2n1,3,3.51
CC[N+](CC)(CC)CC,3.25,4.16
CN(C)c1ccccc1,3.25,1.66
COc1ccc(cc1)N(C)C,3.25,3.09
c1ccc2ncccc2c1,3.25,2.11
Nc1cccc(N)n1,3.25,3.9
Nc1ccc(cc1)C(O)=O,3.25,2.62
Nc1cccc2ccccc12,3.25,2.9
NC(CO)(CO)CO,3.25,2.5
Nc1ccccc1O,3.25,2.73
COc1ccc(N)cc1,3.25,2.65
Cc1ccc2cccc(N)c2n1,3.25,3.4
CC[N+](CC)(CC)CC,3.5,4.16
CN(C)c1ccccc1,3.5,1.64
COc1ccc(cc1)N(C)C,3.5,2.81
c1ccc2ncccc2c1,3.5,2
Nc1cccc(N)n1,3.5,3.75
Nc1ccc(cc1)C(O)=O,3.5,2.55
Nc1cccc2ccccc12,3.5,2.71
NC(CO)(CO)CO,3.5,2.31
Nc1ccccc1O,3.5,2.68
COc1ccc(N)cc1,3.5,2.46
Cc1ccc2cccc(N)c2n1,3.5,3.18
CC[N+](CC)(CC)CC,4,4.16
CN(C)c1ccccc1,4,1.69
COc1ccc(cc1)N(C)C,4,2.59
c1ccc2ncccc2c1,4,1.6
Nc1cccc(N)n1,4,3.84
Nc1ccc(cc1)C(O)=O,4,2.59
Nc1cccc2ccccc12,4,2.51
NC(CO)(CO)CO,4,2.3
Nc1ccccc1O,4,2.55
COc1ccc(N)cc1,4,2.31
Cc1ccc2cccc(N)c2n1,4,2.92
CC[N+](CC)(CC)CC,5,4.16
CN(C)c1ccccc1,5,1.66
COc1ccc(cc1)N(C)C,5,2.26
c1ccc2ncccc2c1,5,1.49
Nc1cccc(N)n1,5,3.86
Nc1ccc(cc1)C(O)=O,5,2.53
Nc1cccc2ccccc12,5,2.26
NC(CO)(CO)CO,5,2.4
Nc1ccccc1O,5,2.49
COc1ccc(N)cc1,5,2.02
Cc1ccc2cccc(N)c2n1,5,2.57
CC[N+](CC)(CC)CC,5.9,4.16
CN(C)c1ccccc1,5.9,1.79
COc1ccc(cc1)N(C)C,5.9,2.43
c1ccc2ncccc2c1,5.9,1.42
Nc1cccc(N)n1,5.9,3.83
Nc1ccc(cc1)C(O)=O,5.9,2.5
Nc1cccc2ccccc12,5.9,2.46
NC(CO)(CO)CO,5.9,2.47
Nc1ccccc1O,5.9,2.57
COc1ccc(N)cc1,5.9,2.11
Cc1ccc2cccc(N)c2n1,5.9,2.72
CN(C)c1ccccc1,3,0.82
COc1ccc(cc1)N(C)C,3,3.82
c1ccc2ncccc2c1,3,2.21
Nc1cccc(N)n1,3,3.77
Nc1ccc(cc1)C(O)=O,3,2.97
Nc1cccc2ccccc12,3,2.73
NC(CO)(CO)CO,3,2.71
Nc1ccccc1O,3,2.88
COc1ccc(N)cc1,3,3.53
Cc1ccc2cccc(N)c2n1,3,3.92
CC[N+](CC)(CC)CC,3,4.16
CN(C)c1ccccc1,3,1.54
COc1ccc(cc1)N(C)C,3,3.24
c1ccc2ncccc2c1,3,2.15
Nc1cccc(N)n1,3,3.93
Nc1ccc(cc1)C(O)=O,3,2.57
Nc1cccc2ccccc12,3,2.63
NC(CO)(CO)CO,3,2.36
Nc1ccccc1O,3,2.69
COc1ccc(N)cc1,3,2.48
Cc1ccc2cccc(N)c2n1,3,3.33
CC[N+](CC)(CC)CC,4.01,4.16
CN(C)c1ccccc1,4.01,1.73
COc1ccc(cc1)N(C)C,4.01,2.62
c1ccc2ncccc2c1,4.01,1.57
Nc1cccc(N)n1,4.01,3.89
Nc1ccc(cc1)C(O)=O,4.01,2.39
Nc1cccc2ccccc12,4.01,2.25
NC(CO)(CO)CO,4.01,2.14
Nc1ccccc1O,4.01,2.55
COc1ccc(N)cc1,4.01,2.21
Cc1ccc2cccc(N)c2n1,4.01,3.01
CC[N+](CC)(CC)CC,5,4.16
CN(C)c1ccccc1,5,1.63
COc1ccc(cc1)N(C)C,5,2.52
c1ccc2ncccc2c1,5,1.32
Nc1cccc(N)n1,5,3.95
Nc1ccc(cc1)C(O)=O,5,2.55
Nc1cccc2ccccc12,5,2.19
NC(CO)(CO)CO,5,2.22
Nc1ccccc1O,5,2.54
COc1ccc(N)cc1,5,2.07
Cc1ccc2cccc(N)c2n1,5,2.72
CC[N+](CC)(CC)CC,5.92,4.16
CN(C)c1ccccc1,5.92,1.85
COc1ccc(cc1)N(C)C,5.92,2.46
c1ccc2ncccc2c1,5.92,1.53
Nc1cccc(N)n1,5.92,3.81
Nc1ccc(cc1)C(O)=O,5.92,2.68
Nc1cccc2ccccc12,5.92,2.38
NC(CO)(CO)CO,5.92,2.4
Nc1ccccc1O,5.92,2.64
COc1ccc(N)cc1,5.92,2.17
Cc1ccc2cccc(N)c2n1,5.92,2.87
CC[N+](CC)(CC)CC,10.1,4.16
CN(C)c1ccccc1,10.1,1.65
COc1ccc(cc1)N(C)C,10.1,3.11
c1ccc2ncccc2c1,10.1,1.76
Nc1cccc(N)n1,10.1,3.7
Nc1ccc(cc1)C(O)=O,10.1,2.69
Nc1cccc2ccccc12,10.1,2.92
NC(CO)(CO)CO,10.1,3.15
Nc1ccccc1O,10.1,3.08
COc1ccc(N)cc1,10.1,3.1
Cc1ccc2cccc(N)c2n1,10.1,3.93
CN(C)c1ccccc1,10.1,1.11
COc1ccc(cc1)N(C)C,10.1,3.51
c1ccc2ncccc2c1,10.1,2.28
Nc1cccc(N)n1,10.1,3.56
