SMILES,logIE,correction
OC(=O)c1ccccc1,0.029346406,0.733214487
OC(=O)c1cc(cc(c1)[N+]([O-])=O)[N+]([O-])=O,1.2297935,0.023973374
OC(=O)c1cccc(c1)C(F)(F)F,1.2853634,0.061778514
Oc1c(F)c(F)c(F)c(F)c1F,1.3626528,0.120869175
CC(C)(C)c1ccc(cc1)C(O)=O,0.7766245,0.428952573
Oc1c(F)c(F)c(c(F)c1F)c2c(F)c(F)c(F)c(F)c2F,1.9805279,0.263744283
Oc1c(c(c(c(c1C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F,2.8481345,0.095436353
Oc1ccc(cc1)c2ccccc2,0.30290288,0.511446972
Oc1ccccc1c2ccccc2,0.30290288,0.326882495
OC(=O)c1cccc(Cl)c1,0.7718861,0.002449494
Nc1ccc(cc1)C(O)=O,-0.028195858,1.352448225
OC(=O)c1ccc(O)cc1,0.12822652,0.653441842
Nc1cccc(c1)C(O)=O,-0.028642982,1.136395154
OC(=O)c1c(F)c(F)c(F)c(F)c1F,1.1994562,0.262585489
Oc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,1.2537272,0.044772665
CN(C)c1cccc(c1)C(O)=O,0.66584456,0.365862324
CC(C)c1ccc(cc1)C(O)=O,0.50501096,0.246252295
CC(C)(C)c1ccccc1O,-0.08370402,-0.069955366
Oc1cc(ccc1[N+]([O-])=O)[N+]([O-])=O,1.253485,0.135527611
Oc1cccc(Cl)c1,0.044320032,0.8768888
CC(C)c1ccccc1O,-0.13685203,-0.194988082
Oc1cccc(Br)c1,0.804139,0.005173773
Oc1c(cccc1[N+]([O-])=O)[N+]([O-])=O,1.2547028,0.169070989
Oc1ccccc1[N+]([O-])=O,0.8356739,-3.258578184
Oc1cccc(c1)[N+]([O-])=O,0.83605486,0.172222909
Oc1ccc(cc1)[N+]([O-])=O,0.8362831,0.43494386
Oc1c(F)c(F)cc(F)c1F,0.9157724,0.461310366
OC(C1=CC=CC(S(=O)(C(F)(C(F)(C(F)(F)F)F)F)=O)=C1)=O,2.2429385,0.193187583
OC(C1=CC=CC(S(=O)(C(C(F)(F)F)(C(F)(F)F)C(F)(F)F)=O)=C1)=O,2.327107,0.115168459
OC(C1=CC=CC(SC(F)(C(F)(C(F)(F)F)F)F)=C1)=O,1.7071137,0.322573912
OC(=O)c1cccc(c1)[S](=O)(=O)C(F)(F)F,1.7378922,0.152247731
